Text Prompt,Mood Issue,Sleep Issue,Anxiety Issue,Depression,Eating Disorder,Panic Disorder,Obsessive-Compulsive,Hallucinations,Self-Harm,Bipolar Disorder,PTSD,Suicidal Thoughts,Explanation
I'm constantly comparing myself to others.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of comparison and self-esteem issues.
I have difficulty making eye contact.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates social anxiety or discomfort.
I feel like I'm not in control of my actions.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of feeling out of control of one's actions.
I can't enjoy things I used to love.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates loss of interest and potential depression.
I obsessively worry about small details.,0,0,1,0,0,0,1,0,0,0,0,0,Signs of obsessive worry and potential OCD.
I feel like I'm a burden to my family.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of feeling like a burden to others.
I have difficulty expressing my thoughts.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates difficulty in expressing thoughts and communication.
I'm always on the edge and jumpy.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests heightened anxiety and jumpiness.
I experience severe mood swings throughout the day.,1,0,0,0,0,0,0,0,0,1,0,0,Signs of severe mood swings and potential bipolar disorder.
I can't control my impulses and do risky things.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates impulsivity and risky behavior.
I have a constant fear of being abandoned.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests fear of abandonment and potential borderline personality disorder.
I feel like I'm constantly being judged by others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests fear of judgment and social anxiety.
I have difficulty falling asleep due to racing thoughts.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates racing thoughts and difficulty falling asleep.
I feel detached from my surroundings.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of dissociation and feeling detached.
I experience physical pain due to stress.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of stress-related physical symptoms.
I constantly doubt my decisions and choices.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests self-doubt and indecision.
I have trouble maintaining relationships.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates difficulties in maintaining relationships.
I feel like I'm always being watched.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
I've been engaging in self-destructive behaviors.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests self-destructive behaviors as a coping mechanism.
I can't get over a past breakup.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests difficulty in coping with a past breakup.
I feel like I'm constantly under pressure.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling constantly under pressure and stressed.
I experience memory gaps and blackouts.,0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory gaps and potential dissociation.
I'm overwhelmed by responsibilities at work.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by work-related responsibilities.
I have difficulty feeling joy or happiness.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates difficulty experiencing joy or happiness.
I'm constantly worried about my appearance.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests body image concerns and potential social anxiety.
I feel like I'm a failure in everything I do.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of feeling like a failure and potential depression.
I have trouble setting and achieving goals.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates difficulty in goal setting and achievement.
I'm constantly tense and can't relax.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic tension and inability to relax.
I avoid social situations due to fear.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates social anxiety and avoidance.
I have thoughts of harming myself.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates thoughts of self-harm.
I can't sleep and have racing thoughts at night.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates insomnia and racing thoughts at night.
I feel like I'm constantly under threat.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a heightened sense of threat and danger.
I feel like I'm stuck and can't move forward.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling stuck in life and unable to progress.
I experience physical symptoms due to anxiety.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of physical symptoms related to anxiety.
I constantly compare myself to others on social media.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests social media comparison and potential low self-esteem.
I'm unable to enjoy activities I used to love.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates loss of interest in previously enjoyed activities.
I have trouble falling asleep due to worry.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates difficulty falling asleep due to worry.
I feel like I'm constantly disappointing others.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of feeling like a disappointment to others.
I'm always on edge and can't relax.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and inability to relax.
I feel like I'm a burden to my friends.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of feeling like a burden to friends.
I have trouble controlling my thoughts.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates difficulty controlling intrusive thoughts.
I feel hopeless about my future.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates hopelessness about the future.
I'm constantly stressed and overwhelmed.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates constant stress and overwhelm.
I can't stop thinking about past mistakes.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates rumination on past mistakes.
I'm overwhelmed by negative thoughts.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates overwhelming negative thoughts and potential depression.
I constantly feel judged by others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a fear of judgment and social anxiety.
I feel disconnected from my emotions.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of emotional disconnection.
I'm experiencing hallucinations.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates hallucinations.
I'm constantly anxious about my health.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests health-related anxiety.
I feel like I'm constantly being watched.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
I've been engaging in self-harming behaviors.,0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harming behaviors.
I'm always worried about my health.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests health-related anxiety.
I'm overwhelmed by guilt and regret.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of guilt and regret.
I can't stop worrying about the future.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests persistent anxiety about the future.
I'm always tense and on edge.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and tension.
I have trouble falling asleep at night.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates difficulty falling asleep.
I'm constantly doubting my worth.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates self-doubt and potential low self-esteem.
I feel like I'm constantly being judged.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests fear of judgment and social anxiety.
I'm overwhelmed by responsibilities.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
I'm always tired and lack energy.,0,1,0,1,0,0,0,0,0,0,0,0,Signs of fatigue and low energy levels.
I can't concentrate on anything.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates difficulties with concentration.
I feel like I'm worthless and unlovable.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and potential depression.
I've been using alcohol to cope with stress.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates alcohol use as a coping mechanism.
I'm constantly on edge and irritable.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests irritability and potential anxiety.
I have trouble sleeping and wake up frequently.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates sleep disturbances and frequent awakenings.
I'm afraid to leave my house.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests agoraphobia and fear of leaving home.
I'm overwhelmed by grief and loss.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of grief and loss.
I can't stop thinking about my past mistakes.,0,0,0,1,0,0,0,0,0,0,0,0,Indicates rumination on past mistakes.
I have intrusive thoughts of harming myself.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of self-harm.
I'm always seeking validation from others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a need for external validation.
I feel hopeless and lost.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of hopelessness and being lost.
I feel like I'm never good enough.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of low self-esteem and perfectionism.
I'm struggling with drug addiction.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates substance addiction as an issue.
I have trouble making decisions.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates decision-making difficulties.
I constantly feel overwhelmed by life.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's challenges.
I have difficulty expressing my emotions.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates difficulty in expressing emotions.
I've been avoiding social situations.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests social anxiety and avoidance behavior.
I can't control my anger and lash out.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
I'm always worried about my future.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests persistent anxiety about the future.
I have vivid flashbacks of a traumatic event.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD symptoms.
I'm worried that I'm losing my mind.,0,0,0,0,0,0,0,0,0,0,0,0,Suggests concerns about mental stability.
I'm hearing voices that tell me to do harmful things.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates auditory hallucinations with harmful commands.
I'm always agitated and can't relax.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic agitation and inability to relax.
I'm experiencing physical symptoms due to stress.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests physical manifestations of stress.
I'm terrified of speaking in public.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates fear of public speaking
I feel like I'm in a constant state of panic.,0,0,1,0,0,1,0,0,0,0,0,0,Suggests chronic panic and anxiety.
I see things that others don't.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates visual hallucinations.
I'm always tense and on high alert.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests constant vigilance and tension.
I can't stop overthinking everything.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates overthinking and rumination.
I'm overwhelmed by my responsibilities at work.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates work-related stress and feeling overwhelmed.
I avoid social situations at all costs.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of social avoidance and anxiety.
I can't forgive myself for past mistakes.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates difficulty forgiving oneself and guilt.
I'm constantly fatigued and have no motivation.,1,1,0,1,0,0,0,0,0,0,0,0,Signs of chronic fatigue and lack of motivation.
I'm afraid of heights and can't even look down.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates acrophobia (fear of heights).
I feel like I'm a failure in my career.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of professional failure.
I'm constantly apologizing for everything.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of over-apologizing and excessive guilt.
I'm overwhelmed by financial stress.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates financial stress and feeling overwhelmed.
I have recurring nightmares about the trauma.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates trauma-related nightmares and potential PTSD.
I'm obsessed with my weight and appearance.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of body image obsession.
I feel like I'm drowning in my responsibilities.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by responsibilities.
I have difficulty trusting even close friends.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of trust issues and difficulty in forming close relationships.
I can't escape my past trauma.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests difficulty in coping with past trauma and potential PTSD.
I'm constantly on edge and expect the worst.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and negative expectations.
I feel like I'm a disappointment to my family.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feeling like a disappointment to loved ones.
I'm seeing and hearing things that aren't there.,0,0,0,0,0,0,1,1,0,0,0,0,Indicates auditory and visual hallucinations.
I'm always restless and can't sit still.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests restlessness and potential hyperactivity.
I have trouble sleeping and experience nightmares.,0,1,0,0,0,0,0,0,0,0,1,0,Indicates sleep disturbances and trauma-related nightmares.
I'm overwhelmed by guilt for past actions.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates guilt and remorse for past actions.
I can't shake the feeling that something bad will happen.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates chronic anxiety and fear of impending doom.
I'm obsessed with cleanliness and hygiene.,0,0,0,0,0,0,1,0,0,0,0,0,Signs of obsession with cleanliness and hygiene.
I have intrusive thoughts of self-harm.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of self-harm.
I'm hearing voices that mock and taunt me.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates auditory hallucinations with mocking content.
I can't relax and feel like something bad will happen.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests constant anxiety and fear of negative events.
I feel like I'm constantly letting people down.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates a fear of disappointing others.
I'm overwhelmed by sadness and can't find joy.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of persistent sadness and depression.
I have difficulty maintaining relationships.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates challenges in maintaining relationships.
I'm consumed by intrusive thoughts of harm.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates overwhelming intrusive thoughts of harm.
I'm always anxious about my health.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests health anxiety and constant worry about one's health.
I can't forgive myself for past mistakes and regrets.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates persistent guilt and regret over past actions.
I'm constantly fatigued and have no energy to do anything.,0,1,0,1,0,0,0,0,0,0,0,0,Signs of chronic fatigue
I'm constantly seeking reassurance from others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a need for constant reassurance.
I've been having trouble sleeping and feel restless at night.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates insomnia and restlessness.
I'm constantly worried about my health and have physical symptoms.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests health anxiety and physical symptoms.
I feel disconnected from reality and like everything is a dream.,1,0,1,0,0,0,0,0,0,0,0,0,Signs of derealization and anxiety.
I can't stop binge-eating and then I throw up afterward.,0,0,0,0,1,0,0,0,0,0,0,0,Indicates binge eating and purging behaviors.
"I get sudden, intense mood swings and feel extremely impulsive.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of mood swings and impulsivity.
I'm haunted by memories of a traumatic event from my past.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests past trauma and potential PTSD.
"I can't concentrate, forget things, and feel overwhelmed.",0,1,0,0,0,0,0,0,0,0,0,0,Indicates attention difficulties and overwhelm.
I have difficulty swallowing food and it feels like a lump in my throat.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests difficulty swallowing and potential anxiety.
I hear voices that criticize and command me to do things.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates auditory hallucinations and potential schizophrenia.
I've been cutting myself to cope with emotional pain.,0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harm as a coping mechanism.
"I feel elated and full of energy one moment, and then deeply sad the next.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of mood swings and potential bipolar disorder.
I've witnessed a violent event and it haunts me.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests witnessing trauma and potential PTSD.
I'm obsessed with checking if I locked the door or turned off the stove.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates obsessive-compulsive tendencies.
I can't remember important details about my life.,0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and potential cognitive difficulties.
"My friends have distanced themselves, and I feel lonely.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates loneliness and social withdrawal.
I'm preoccupied with perceived flaws in my appearance.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
"I'm unable to trust anyone, even those closest to me.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty in relationships.
I experience delusions of grandeur and believe I'm a world leader.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of grandiose delusions.
I'm overwhelmed by guilt and regret over past decisions.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of guilt and regret.
I have a constant sense of impending doom and panic.,0,0,1,0,0,1,0,0,0,0,0,0,Suggests constant panic and anxiety.
I keep having disturbing thoughts about harming others.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of harm.
I seek validation through social media likes and comments.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests seeking external validation.
I feel like life is meaningless and struggle to find purpose.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of existential distress and depression.
"I've stopped talking to friends and family, withdrawing from everyone.",1,0,1,0,0,0,0,0,0,0,0,0,Suggests social isolation and withdrawal.
I can't control violent thoughts that come into my mind.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates difficulty controlling intrusive thoughts.
I'm overwhelmed by shame and can't forgive myself for past mistakes.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates overwhelming shame and self-blame.
I feel constantly jittery and have trouble sitting still.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests restlessness and nervousness.
I have a paralyzing fear of heights and can't go near tall buildings.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of acrophobia (fear of heights).
I think I'm being followed by government agents and can't trust anyone.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and distrust.
I engage in risky behaviors like reckless driving and substance abuse.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests risk-taking behaviors and self-destructive tendencies.
I have vivid flashbacks of a traumatic event from my childhood.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates childhood trauma and potential PTSD.
I feel like I'm constantly disappointing my loved ones.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and guilt.
I can't stop using drugs to numb my emotional pain.,1,0,1,1,0,0,0,0,0,0,1,0,Indicates substance abuse as a coping mechanism.
I'm haunted by flashbacks of a near-death experience.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests near-death trauma and potential PTSD.
I'm consumed by thoughts of my own inadequacy.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of self-doubt and perfectionism.
I've become estranged from my family due to my addiction.,1,0,0,0,0,0,0,0,0,0,0,0,Indicates family estrangement due to addiction.
I'm obsessed with cleanliness and ritualistic cleaning routines.,0,0,0,0,0,0,1,0,0,0,0,0,Signs of obsessive-compulsive disorder (OCD).
I'm tormented by thoughts of harming my loved ones.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of harm towards others.
I constantly seek approval and reassurance from my partner.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests dependency on external validation.
I can't escape the feeling of impending disaster.,0,0,1,0,0,1,0,0,0,0,0,0,Indicates constant anxiety and panic.
I can't sleep because I keep reliving past traumas.,0,1,1,0,0,0,0,0,0,0,1,0,Suggests insomnia and traumatic flashbacks.
I'm obsessed with counting and repeating actions.,0,0,0,0,0,0,1,0,0,0,0,0,Signs of compulsive counting behaviors.
I've been neglecting my hygiene and personal care.,1,1,0,1,0,0,0,0,0,0,0,0,Signs of severe depression and self-neglect.
I experience extreme anger outbursts for no apparent reason.,0,0,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
I've lost interest in everything and feel emotionally numb.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional numbness and depression.
I'm constantly overwhelmed by intrusive thoughts.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates difficulty controlling intrusive thoughts.
I've been binge-watching TV for days and neglecting my work.,1,0,0,1,0,0,0,0,0,0,0,0,Suggests procrastination and depression.
I feel like my thoughts are being broadcast to others.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates thought broadcasting and potential delusions.
I'm constantly checking my body for signs of illness.,0,0,1,0,0,0,1,0,0,0,0,0,Suggests health anxiety and compulsive checking.
